# FNIRS session start 2025-08-10T09:53:07.457161
# columns: t_rel, sr, nr, red_mean, red_std, red_min, red_max, ir_mean, ir_std, ir_min, ir_max
207.722,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
208.732,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
209.787,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
210.790,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
211.807,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
355.378,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
356.419,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
357.467,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
358.470,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
359.475,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
360.478,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
361.489,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
362.540,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
363.557,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
364.600,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
365.641,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
366.687,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
367.739,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
368.742,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
369.791,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
370.846,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
371.900,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
372.907,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
373.908,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
374.954,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
375.962,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
377.015,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
378.033,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
379.051,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
380.061,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
